mmsi,ais_name,식별명,한글명,선종,imo,전장_m,선폭_m,gt,dwt,건조년,선적,최종상태,모델그룹,제원출처
352002269,HONOR VOYAGER,HONOR VOYAGER,,피더 컨테이너선,9158757,121.9,21.8,6393,8016,1998,PA,anchored,-,VesselFinder
441703000,MEGA PASSION,MEGA PASSION,,중량물운반선,9528421,203.0,63.0,41986,52296,2010,KR,anchored,-,VesselFinder
440303525,MMSI 440303525,CHEONGDAM,청담,연안 탱커,,71.0,12.0,,1800,,KR,moored,-,VesselFinder(부분)
440800309,MMSI 440800309,(미식별),,소형 연안선(추정),,,,,,,KR?,moored,-,추정
636026469,MMSI 636026469,(미식별),,미상,,,,,,,LR?,moored*,-,미식별
440075577,MMSI 440075577,(미식별),,소형 연안선(추정),,,,,,,KR?,moored,-,추정
440115429,MMSI 440115429,(미식별),,소형 연안선(추정),,,,,,,KR?,moored,-,추정
440200101,MMSI 440200101,(미식별),,소형 연안선(추정),,,,,,,KR?,moored,-,추정
440151589,MMSI 440151589,(미식별),,소형 연안선(추정),,,,,,,KR?,moored,-,추정
440103461,MMSI 440103461,(미식별),,소형 연안선(추정),,,,,,,KR?,moored,-,추정
440110885,MMSI 440110885,(미식별),,미상,,,,,,,KR?,moored*,-,미식별
440068000,WOO HWANG,WOO HWANG,우황,케미컬/제품 탱커,9947861,109.0,18.2,5197,6832,2022,KR,underway,-,VesselFinder
413383270,LINGYUNHE,LINGYUNHE,,컨테이너선,9223772,179.7,27.6,20569,25723,2000,CN,underway,-,VesselFinder
314246000,MMSI 314246000,GA HONG,가홍,일반화물선,9596923,99.8,16.6,3935,5418,2011,BB,underway,-,VesselFinder
636020713,M/V AG.NEKTARIOS,AG. NEKTARIOS,,벌크선(Supramax),9387334,189.99,32.26,31117,53447,2009,LR,underway,SUP-A,VesselFinder
352002662,AC OREN,AC OREN,,벌크선(Supramax),9491214,189.99,32.26,33112,56877,2010,PA,underway,SUP-A,VesselFinder
419001620,BW ELM,BW ELM,,LPG 탱커,9320752,225.27,36.6,47386,58136,2007,IN,underway,-,VesselFinder
563709000,MAJURO CHIEF,MAJURO CHIEF,,컨테이너선,9614517,199.9,28.2,25483,30852,2013,SG,underway,-,VesselFinder
636023958,PACIFIC SUNSTONE,PACIFIC SUNSTONE,,케미컬/제품 탱커,9998250,183.0,40.0,30344,49200,2026,LR,underway,-,VesselFinder
440066000,ZENITH VEGA,ZENITH VEGA,,일반화물선,9803156,79.9,13.4,2223,2914,2016,KR,underway,-,VesselFinder
636023328,PEGASUS GRACE,PEGASUS GRACE,,컨테이너선,9980693,146.0,23.6,9908,13041,2024,LR,underway,-,VesselFinder
368680000,PRESIDENT REAGAN,PRESIDENT REAGAN,,컨테이너선,9938341,255.0,40.0,59052,72887,2024,US,underway,-,VesselFinder
440043440,K GAS,K GAS,,LPG 탱커,9622722,67.95,12.8,1002,1312,2012,KR,underway,-,VesselFinder
440132140,HANYU ULSAN,HANYU ULSAN,,제품 탱커,9932622,88.0,24.0,1996,3594,2021,KR,underway,-,VesselFinder
440331980,BU KWANG 9 HO,BU KWANG 9 HO,부광9호,제품 탱커,8738067,74.95,12.0,1045,2405,2008,KR,underway,-,VesselFinder
